method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Smallest-N,12,44,152571.79083222587,85.88,2,2,9
Smallest-N,12,45,152571.79083222587,85.88,2,2,9
Smallest-N,12,46,152571.79083222587,85.88,2,2,9
Smallest-N,12,47,152571.79083222587,85.88,2,2,9
Smallest-N,12,48,152571.79083222587,85.88,2,2,9
Smallest-N,12,49,152571.79083222587,85.88,2,2,9
Smallest-N,12,50,152571.79083222587,85.88,2,2,9
Smallest-N,12,51,152571.79083222587,85.88,2,2,9
Ours (Metadata-Only Maximin),15,42,166049.9295210018,93.46,5,2,9
Ours (Metadata-Only Maximin),15,43,173408.57994656905,97.6,4,2,9
Ours (Metadata-Only Maximin),15,44,174493.4864645079,98.21,4,4,9
Ours (Metadata-Only Maximin),15,45,174509.419233681,98.22,5,1,9
Ours (Metadata-Only Maximin),15,46,173469.32618265704,97.64,5,2,9
Ours (Metadata-Only Maximin),15,47,169782.0687589144,95.56,6,2,9
Ours (Metadata-Only Maximin),15,48,164271.55293714112,92.46,5,1,9
Ours (Metadata-Only Maximin),15,49,172783.9600609295,97.25,3,2,9
Ours (Metadata-Only Maximin),15,50,171968.10395832267,96.79,4,1,9
Ours (Metadata-Only Maximin),15,51,174795.53633773525,98.38,4,2,9
"Combined (lw=5, fw=3)",15,42,161336.07017141825,90.81,5,1,9
"Combined (lw=5, fw=3)",15,43,173408.57994656905,97.6,4,2,9
"Combined (lw=5, fw=3)",15,44,174493.4864645079,98.21,4,4,9
"Combined (lw=5, fw=3)",15,45,176267.62022494618,99.21,5,3,9
"Combined (lw=5, fw=3)",15,46,173469.32618265704,97.64,5,2,9
"Combined (lw=5, fw=3)",15,47,169782.0687589144,95.56,6,2,9
"Combined (lw=5, fw=3)",15,48,159512.6428107002,89.78,6,0,9
"Combined (lw=5, fw=3)",15,49,173571.24401532393,97.69,4,3,9
"Combined (lw=5, fw=3)",15,50,171968.10395832267,96.79,4,1,9
"Combined (lw=5, fw=3)",15,51,174795.53633773525,98.38,4,2,9
Latency-Only Spacing,15,42,152745.8882458518,85.97,3,2,9
Latency-Only Spacing,15,43,163477.54474928952,92.01,5,1,9
Latency-Only Spacing,15,44,159904.2096925434,90.0,4,1,9
Latency-Only Spacing,15,45,165204.43550495998,92.99,4,1,9
Latency-Only Spacing,15,46,163477.54474928952,92.01,5,1,9
Latency-Only Spacing,15,47,146242.60756492335,82.31,3,1,9
Latency-Only Spacing,15,48,141832.13355077858,79.83,4,2,9
Latency-Only Spacing,15,49,160117.26041889645,90.12,4,1,9
Latency-Only Spacing,15,50,159043.42413126052,89.52,5,1,9
Latency-Only Spacing,15,51,163477.54474928952,92.01,5,1,9
Random,15,42,152067.68872161454,85.59,4,2,9
Random,15,43,164161.75112340966,92.4,5,2,9
Random,15,44,158164.9258664159,89.02,3,1,9
Random,15,45,158828.50705696328,89.4,7,0,9
Random,15,46,150053.62656790527,84.46,4,0,9
Random,15,47,166297.87064727454,93.6,6,2,9
Random,15,48,163688.64691600087,92.13,7,1,9
