metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
num_tables,1.7542946901206362,1.0152615893846024,3.0,1.0,2.0,545,2695,0.11679916934979347
join_tree_diameter,1.7542946901206362,1.0113196236558444,1.0,0.0,1.0,545,4792,0.11679979687526952
longest_path_len,1.7542946901206362,1.0113196236558444,5.0,1.0,4.0,545,4792,0.11679979687526952
max_log_card_error,1.7542946901206362,1.0113196236558444,0.6931471805599453,5.334243711629938e-06,0.6931418463162337,545,4792,0.11679979687526952
num_columns,1.7542946901206362,1.0113196236558444,24.0,3.0,21.0,545,4792,0.11679979687526952
num_filters,1.7542946901206362,1.0113196236558444,4.0,1.0,3.0,545,4792,0.11679979687526952
num_joins,1.7542946901206362,1.0113196236558444,2.0,0.0,2.0,545,4792,0.11679979687526952
num_nested_loop,1.7542946901206362,1.0113196236558444,1.0,0.0,1.0,545,4792,0.11679979687526952
num_nodes,1.7542946901206362,1.0113196236558444,7.0,1.0,6.0,545,4792,0.11679979687526952
num_tables,1.7542946901206362,1.0113196236558444,3.0,1.0,2.0,545,4792,0.11679979687526952
