combined_timing_accuracy_report
dataset,task,algo,model,train_time_sum_ms,test_time_sum_ms,llm_train_inference_ms,llm_test_inference_ms,q50,q90,q95,qmax
tpcds,time,llm,Qwen-Qwen3-0.6B,228.54,83.55,226307.57,56408.01,1.1,1.37,1.48,2.09
tpcds,time,llm,Qwen-Qwen3-4B,281.26,81.04,1401521.35,349334.43,1.11,1.41,1.67,3.73
tpcds,time,llm,Qwen-Qwen3-8B,280.03,80.02,2568668.2,640250.13,1.12,1.44,1.59,2.86
tpcds,time,llm,Qwen-Qwen3-Embedding-0.6B,189.28,80.2,226532.15,56463.98,1.09,1.45,1.63,5.97
tpcds,time,llm,Qwen-Qwen3-Embedding-4B,265.75,80.86,1409475.32,351316.98,1.07,1.42,1.75,10.71
tpcds,time,llm,Qwen-Qwen3-Embedding-8B,227.92,80.19,2576342.25,642162.92,1.11,1.49,1.97,47.65
tpcds,time,llm,answerdotai-ModernBERT-base,214.6,80.81,44470.42,11084.42,1.15,2.15,2.53,4.94
tpcds,time,llm,bert-base-uncased,202.58,81.8,29335.83,7312.06,1.13,1.89,2.28,3.54
tpcds,time,llm,google-gemma-3-12b-pt,231.51,79.49,683783.23,170435.52,1.07,1.36,1.58,3.28
tpcds,time,llm,google-gemma-3-1b-pt,284.87,79.66,96140.93,23963.49,1.08,1.37,1.62,4.22
tpcds,time,llm,google-gemma-3-4b-pt,227.7,80.13,275921.88,68774.56,1.06,1.3,1.6,5.27
tpcds,time,llm,meta-llama-Llama-3.1-8B,230.92,79.99,379038.76,94476.83,1.07,1.36,1.52,6.81
tpcds,time,llm,meta-llama-Llama-3.2-1B,212.33,77.59,96626.25,24084.45,1.06,1.31,1.56,4.34
tpcds,time,llm,meta-llama-Llama-3.2-3B,213.26,82.85,206810.06,51548.18,1.07,1.3,1.46,5.52
tpcds,time,llm,sentence-transformers-all-MiniLM-L6-v2,219.91,83.51,17437.17,4346.28,1.08,1.39,1.58,16.29
tpcds,time,postgres,,,,,,5.56,69.68,95.91,1778.36
tpcds,time,qf,,2733.47,6733.95,,,1.08,1.27,1.4,9.43
tpch,time,aimai,,268.95,187.68,,,1.02,1.05,5.04,5.26
tpch,time,bao,,572.06,435.64,,,1.07,1.41,1.46,1.63
tpch,time,e2e,,5397.15,11023.43,,,1.09,1.79,1.9,2.19
tpch,time,llm,Qwen-Qwen3-0.6B,238.49,191.92,256119.19,63838.66,1.02,1.05,1.06,1.13
tpch,time,llm,Qwen-Qwen3-4B,264.52,192.81,1575122.5,392605.16,1.03,1.06,1.07,1.13
tpch,time,llm,Qwen-Qwen3-8B,258.32,185.44,2850517.08,710502.02,1.02,1.05,1.07,1.14
tpch,time,llm,Qwen-Qwen3-Embedding-0.6B,239.85,192.76,257910.34,64285.12,1.03,1.06,1.07,1.13
tpch,time,llm,Qwen-Qwen3-Embedding-4B,223.03,186.08,1583158.97,394608.28,1.03,1.06,1.08,1.19
tpch,time,llm,Qwen-Qwen3-Embedding-8B,307.71,188.73,2854896.66,711593.64,1.03,1.06,1.08,1.18
tpch,time,llm,answerdotai-ModernBERT-base,253.0,191.27,82934.33,20671.69,1.03,1.07,1.08,1.14
tpch,time,llm,bert-base-uncased,246.72,191.83,45891.49,11438.62,1.03,1.08,1.09,1.17
tpch,time,llm,google-gemma-3-12b-pt,287.03,192.33,778852.96,194132.01,1.02,1.04,1.06,1.13
tpch,time,llm,google-gemma-3-1b-pt,515.89,191.62,129681.24,32323.53,1.02,1.05,1.06,1.13
tpch,time,llm,google-gemma-3-4b-pt,326.89,191.25,316669.06,78930.95,1.02,1.04,1.05,1.13
