method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Random,10,49,126566.66832496028,71.23820242524035,4,0,9
Random,10,50,151982.36484866822,85.54345796918612,2,2,9
Random,10,51,153228.5126750376,86.2448537812237,4,0,9
Uniform Latency,10,42,152169.18782447622,85.64861150719445,3,1,9
Uniform Latency,10,43,131784.84650665533,74.17526032933353,5,0,9
Uniform Latency,10,44,155250.05371337454,87.38268060092182,3,1,9
Uniform Latency,10,45,136317.5867346271,76.72651865172395,3,0,9
Uniform Latency,10,46,150044.3613567091,84.45265035855567,3,0,9
Uniform Latency,10,47,161501.32347394776,90.90121535033242,4,1,9
Uniform Latency,10,48,149546.9975012231,84.17270851063454,6,0,9
Uniform Latency,10,49,151705.19782328463,85.38745417354868,3,0,9
Uniform Latency,10,50,141478.38437026393,79.63127984603197,4,0,9
Uniform Latency,10,51,154237.01456148727,86.8124902884017,3,1,9
Largest-N,10,42,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,43,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,44,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,45,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,46,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,47,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,48,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,49,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,50,124662.65185042807,70.16652444849638,4,1,9
Largest-N,10,51,124662.65185042807,70.16652444849638,4,1,9
Pareto Search (Ours),12,42,161336.07017141825,90.80820232903038,5,1,9
Pareto Search (Ours),12,43,172303.8222972715,96.98141488516202,3,2,9
Pareto Search (Ours),12,44,174493.4864645079,98.2138700114073,4,4,9
Pareto Search (Ours),12,45,174905.8690758806,98.4459800632433,5,2,9
Pareto Search (Ours),12,46,172364.56853335947,97.01560597765327,4,2,9
Pareto Search (Ours),12,47,169713.4444508198,95.52341757966613,5,2,9
Pareto Search (Ours),12,48,159444.0185026056,89.74325875766431,5,0,9
Pareto Search (Ours),12,49,172783.9600609295,97.25166100645244,3,2,9
Pareto Search (Ours),12,50,171823.58135984163,96.71111069238927,3,1,9
Pareto Search (Ours),12,51,174795.53633773525,98.38387914806437,4,2,9
Metadata-Only Maximin,12,42,166049.9295210018,93.46140376819254,5,2,9
Metadata-Only Maximin,12,43,172303.8222972715,96.98141488516202,3,2,9
Metadata-Only Maximin,12,44,174493.4864645079,98.2138700114073,4,4,9
Metadata-Only Maximin,12,45,174124.885424931,98.00640247023671,4,1,9
Metadata-Only Maximin,12,46,172364.56853335947,97.01560597765327,4,2,9
Metadata-Only Maximin,12,47,169713.4444508198,95.52341757966613,5,2,9
Metadata-Only Maximin,12,48,164202.92862904654,92.42181708109666,4,1,9
Metadata-Only Maximin,12,49,172783.9600609295,97.25166100645244,3,2,9
Metadata-Only Maximin,12,50,171823.58135984163,96.71111069238927,3,1,9
Metadata-Only Maximin,12,51,174795.53633773525,98.38387914806437,4,2,9
Latency-Only Spacing,12,42,152745.8882458518,85.97320803723183,3,2,9
Latency-Only Spacing,12,43,163477.54474928952,92.01353388658718,5,1,9
Latency-Only Spacing,12,44,157458.52907869124,88.62572363277003,3,1,9
Latency-Only Spacing,12,45,165204.43550495998,92.9855164381297,4,1,9
Latency-Only Spacing,12,46,163477.54474928952,92.01353388658718,5,1,9
Latency-Only Spacing,12,47,146242.60756492335,82.31282863634046,3,1,9
Latency-Only Spacing,12,48,139548.61672221907,78.54510779011487,4,1,9
Latency-Only Spacing,12,49,157368.76681125417,88.57520083192162,4,0,9
Latency-Only Spacing,12,50,158462.8691156354,89.19101763791762,4,1,9
Latency-Only Spacing,12,51,163477.54474928952,92.01353388658718,5,1,9
Random,12,42,157194.4932702635,88.47711075848632,5,1,9
Random,12,43,141948.80806390377,79.89605839125764,3,1,9
Random,12,44,155610.16714785088,87.5853708832907,5,0,9
Random,12,45,152869.0717329764,86.04254201202444,3,1,9
Random,12,46,163082.5699790709,91.79122185921,4,1,9
Random,12,47,159371.43964653407,89.70240766069665,3,2,9
Random,12,48,138992.07024999472,78.23185493474558,3,1,9
Random,12,49,157199.56744197407,88.47996676217387,4,1,9
